id,description
11,baby sunshade top soft stretchy polyester fabric fast wicking quick drying breathable detail lap shoulder relax silhouette extended rolldown cuff accommodate growth spurt drop hem waist provides extra coveragefabric 43oz 100 polyester jersey recyclable common thread recycling programweight 0 g 0 ozmade vietnam
12,baggies short even baggies popular short anything nothing occasionally need update season weve increased inseam length casual fit quickdrying waterrepellent nylon elasticized waistband internal drawstring remain ever feature include polyester mesh lining rear snap pocket front pocket selfdraining mesh corner positioned reduce drag water inseam size 7 recyclable common thread recycling programdetails quickdrying nylon dwr durable water repellent finish elasticized waistband internal drawstring black mesh liner vertical onseam side pocket reduced drag water pocket bag quickdrainanddry mesh corner snapclosed back pocket inseam 7fabric 42oz 100 nylon dwr finish lining 52oz 100 polyester mesh recyclable common thread recycling programweight 233 g 81 ozmade nicaragua
13,beach bucket whenever youre junction water land neutralize sun unforgiving ray wide brim soft design versatile beach bucket durable semirigid foam bill black underneath cast refreshing 360degree shade 68oz 100 stretchwoven nylon fabric look feel like soft canvas provides watershedding fastdrying performance detail moisturewicking coolmax headband soft chin strap adjustable rear buckle reliable bond fabric 68oz 100 stretchwoven nylon dwr durable water repellent finishdetails tough easy care stretchwoven nylon brim durable semirigid foam float bill provides 360degree sun protection black underbill reduce glare soft chin strap moisturewicking coolmax headband adjustable rear bucklefabric 68oz 100 stretchwoven nylon dwr durable water repellent finishweight 106 g 37 ozmade china
14,better sweater jkt june night camped new mexico navajo country starry cold layer softest fleece weve spun date made highperformance sweaterknit polyester fleece better sweater warm wool technically proficient standup collar zipper garage handwarmer pocket keep finger cozy recyclable common thread recycling programdetails soft fleece sweaterknit face fleeced interior heathered overdyed yarn standup collar full zip garage raglan sleeve handwarmer pocketsfabric 95oz 100 polyester sweaterknit exterior fleece interior recyclable common thread recycling programweight 577 g 20 ozmade thailand
15,borderless shorts11 go forward others cringe borderless short made prying outer reach unnamed terrain light breathable fabric blend 95 nylon 60 recycled 5 spandex mini ripstop resist effect thrashy chimney provide stretch body language going place dwr durable water repellent finish shrug water builtin 40upf sun protection shade leg open country feature include gusseted crotch preserve mobility two front pocket access wearing harness partially elastic waist keep short adhered load hip belt rear welted pocket secure zip inseam size 11 recyclable common thread recycling programdetails supple soft blend recycled nylon spandex total mobility light drape fast dry time abrasion resistance provides 40upf sun protection partially elasticized waistband support wide range motion generous wideentry front pocket left front pocket hidden internal zip security pocket welted zippered back pocket gusseted crotch mobility inseam 11fabric 4oz 95 nylon 60 recycled5 spandex dwr durable water repellent finish recyclable common thread recycling programweight 219 g 76 ozmade vietnam
16,borderless shorts7 one summertime gift chance freely traverse alpine country short let make season theyre made soft supple weave 95 nylon 60 recycled 5 spandex mini ripstop stretch energetic move breathe cooling airflow gusseted crotch allows wide range motion partially elastic waist keep short adhered load hip belt two ontheslant front pocket ensure accessibility harness rear welted pocket secure zip 40upf sun protection inseam size 7 recyclable common thread recycling programdetails supple soft blend recycled nylon spandex total mobility light drape fast dry time abrasion resistance provides 40upf sun protection partially elasticized waistband support wide range motion generous wideentry front pocket welted zippered back pocket gusseted crotch mobility inseam 7fabric 4oz 95 nylon 60 recycled5 spandex dwr durable water repellent finish recyclable common thread recycling programweight 201 g 7 ozmade vietnam
17,bucket hat besides shadecasting prowess bucket provides perfect eye cover extralarge fish taco fest made soft fastdrying 100 nylon watershedding finish repel rain ocean spray bucket hat feature timetested design linear crown crushable brim ventilation hole keep noggin hardboiling also roll inside pocketdetails lightweight fastdrying easycare fabric dwr durable water repellent finish shed rain ocean spray crushable 360degree brim provides complete sun protection roll inside pocketfabric 42oz 100 nylon dwr durable water repellent finishweight 63 g 22 ozmade china
18,cap 1 bottom spring skiing transient wind move fast move light still stay dry lightestweight capilene performance baselayer bottom wick perspiration breathe dry quickly shell insulate without overheating waistband brushed softness inseams set forward prevent chafe gusseted crotch improves mobility functional fly made 37oz 100 allrecycled polyester gladiodor natural odor control garment 15upf sun protection recyclable common thread recycling programdetails silky soft capilene 1 lightest technical baselayer fabric fastdrying highly breathable sleek provides 15upf sun protection worn either layer cooler temp elastic waistband brushed nexttoskin softness streamlined functional fly inseams set forward prevent chafefabric 37oz 100 recycled polyester gladiodor natural odor control garment 15upf sun protection recyclable common thread recycling programweight 158 g 55 ozmade usa
19,cap 1 boxer brief bivy belay formfitting capilene 1 boxer brief stay dry comfortable made 100 recycled polyester underwear excels moisturewicking gladiodor natural odor control garment exposed elastic waistband brushed softness hem coverstitched smooth glide beneath short pant fullyfunctioning fly supportive front panel keep covered 5 12 inseam size recyclable common thread recycling programdetails moisturewicking capilene 1 fabric gladiodor exceptional nexttoskin comfort natural odor control garment brushed elastic waistband supportive front panel coverstitched hem smooth glide short pant wont restrict mobility inseam size 5 12fabric 37oz 100 allrecycled polyester gladiodor174 natural odor control garment recyclable common thread recycling programweight 72 g 25 ozmade usa
20,cap 1 graphic tshirt tee made lightestweight capilene fabric achieve harmonic balance technical ability slacker prowess designed dry cool comfort sun protection highly breathable fastdrying silky feel ribknit collar thats soft skin raglan sleeve reduce chafing pack tuckable length sublimated graphic wont impede breathability made 37oz 100 allrecycled polyester gladiodor natural odor control garment 15upf sun protection recyclable common thread recycling programdetails silky soft capilene 1 lightest technical baselayer fabric fastdrying highly breathable sleek provides 15upf sun protection worn either layer cooler temp ribknit collar soft skin graphic element sublimated fabric wont impede breathability wicking performance setin sleeve cut long enough tuck infabric 37oz 100 recycled polyester gladiodor natural odor control garment 15upf sun protection recyclable common thread recycling programweight 132 g 46 ozmade usa
21,cap 1 tshirt minimally styled technically evolved punishing expanse hot country silky ultrabreathable capilene 1 tshirt quick wick fast dry ribknit collar soft skin generous hem long enough tuck made 37oz 100 allrecycled polyester gladiodor natural odor control garment 15upf sun protection recyclable common thread recycling programdetails silky soft capilene 1 lightest technical baselayer fabric fastdrying highly breathable sleek provides 15upf sun protection worn either layer cooler temp ribknit collar soft skin setin sleeve cut long enough tuck infabric 37oz 100 recycled polyester gladiodor natural odor control garment 15upf sun protection recyclable common thread recycling programweight 130 g 46 ozmade usa
22,cap 2 tshirt one revel sweat jamboree hill climb ridge run desert singletrack resolute sun made fastestdrying performance baselayer fabric open knit invite airflow provides excellent wicking exceptional breathability worn beneath layer also insulative enough chilly day selfbinding neck pliable soft raglan sleeve flatribbed underarm panel merge way strap eliminate chafe made 4oz 100 polyester 54 recycled gladiodor natural odor control garment recyclable common thread recycling programdetails capilene 2 fabric open knit invite airflow provides excellent wicking endurance activity warm moderate temperature fastestdrying capilene fabric insulates enough use chilly day worn beneath layer selffabric neckline soft skin raglan sleeve underarm panel merge way pack strap flatrib panelpiecing arm side exceptionally breathable fast drying eliminates armpit seam chafingfabric 4oz 100 polyester 54 recycled gladiodor natural odor control garment recyclable common thread recycling programweight 121 g 43 ozmade mexico
23,cap 2 zip neck designed wetthenchill pursuit like backcountry skiing alpine climbing mountain trekking fastestdrying performance baselayer keep cool endurance activity warmer temperature also insulates sky turn dark open knit invite airflow provides excellent wicking exceptional breathability draft flap back zipper raglan sleeve eliminate chafe pack strap flatrib side panel merge flat offset seam chafefree comfort made 4oz 100 polyester 54 recycled gladiodor natural odor control garment recyclable common thread recycling programdetails capilene 2 fabric open knit invite airflow provides excellent wicking endurance activity warm moderate temperature fastestdrying capilene fabric insulates enough use chilly day worn beneath layer zipneck easy climate control backed draft flap zipper garage raglan sleeve underarm panel merge way pack strap flatrib panelpiecing arm side exceptionally breathable fast drying eliminates armpit seam chafingfabric 4oz 100 polyester 54 recycled gladiodor natural odor control garment recyclable common thread recycling programweight 175 g 61 ozmade mexico
24,cap 3 zip neck capilene 3 provides excellent insulation nexttoskin comfort endurance activity cool cold condition dense interior honeycomb construction brushed warmth softness compressibility smooth jersey exterior glide readily beneath layer raglan sleeve singlepiece shoulder panel merge way shoulder strap seam rolled forward side panel offset eliminate chafe zipneck backed draft flap zipper garage make easy climate control made 48oz 100 polyester 64 recycled gladiodor natural odor control garment recyclable common thread recycling programdetails fastestwicking baselayer fabric capilene 3 feature dense interior honeycomb construction fabric next skin brushed warmth softness compressibility providing excellent insulation breathability smooth jersey exterior glide easily layer zipneck easy climate control backed draft flap zipper garage raglan sleeve singlepiece shoulder panel merge way pack strap side seam rolled forward comfort hip beltfabric 48oz 100 polyester 64 recycled gladiodor natural odor control garment recyclable common thread recycling programweight 221 g 78 ozmade costa rica
25,cap 4 bottom sufferfests like grand january pair warm bottom add bright side grief warmest synthetic performance baselayer capilene 4 fabric stretchy compressible smooth jersey exterior glide easily beneath layer cozy internal grid trap warmth wick moisture highly breathable brushedelastic waistband thats soft skin made 53oz polartec power dry 93 polyester 50 recycled7 spandex gladiodor natural odor control garment recyclable common thread recycling programdetails warmest baselayer fabric capilene 4 offer stretch great breathability compressibility interior grid wick moisture trim bulk provides warmth smooth jersey face slide easily beneath layer 4panel construction pullon tights elastic waistband brushed nexttoskin softnessfabric 53oz polartec power dry 93 polyester 50 recycled7 spandex gladiodor natural odor control garment recyclable common thread recycling programweight 187 g 65 ozmade costa rica
26,city sea tshirt illustrating renaissance seainspired community living artist geoff mcfetridges work adorns citybythesea tshirt lightweight 100 organic cotton fabric ringspun softness taped shoulder seam prevent chafing pvc phthalatefree ink easier environment tee recyclable common thread recycling programdetails ringspun yarn softer hand taped shoulder seam screenprint ink pvc phthalatefreefabric 44oz 100 organic cotton recyclable common thread recycling programweight 150 g 52 ozmade usa
27,compound cargo pant long ultimate doeverything pant built withstand daily abuse cargo pocket modeled vintage army block compound cargo perfect hitting trail stash climbing shoe multitools spare fin wax dry salami odd beer additional pocketing includes two generous front dropin two rear hidden buttonflap closure made tough 55oz organic cotton ripstop tear strength standard 8oz material theyre hardy lightweight ready action inseams size 32 short 30 regular 32 long 34 recyclable common thread recycling programdetails lightweight yet durable organic cotton ripstop feature new fit block two generous wideentry dropin front pocket two sideseam cargo pocket hidden button flap two rear pocket hidden button flap inseam 34fabric 55oz 100 organic cotton ripstop recyclable common thread recycling programweight 548 g 19 ozmade thailand
28,compound cargo pant reg ultimate doeverything pant built withstand daily abuse cargo pocket modeled vintage army block compound cargo perfect hitting trail stash climbing shoe multitools spare fin wax dry salami odd beer additional pocketing includes two generous front dropin two rear hidden buttonflap closure made tough 55oz organic cotton ripstop tear strength standard 8oz material theyre hardy lightweight ready action inseams size 32 short 30 regular 32 long 34 recyclable common thread recycling programdetails lightweight yet durable organic cotton ripstop feature new fit block two generous wideentry dropin front pocket two sideseam cargo pocket hidden button flap two rear pocket hidden button flap inseam 32fabric 55oz 100 organic cotton ripstop recyclable common thread recycling programweight 536 g 186 ozmade thailand
29,continental short wrinkleresistant travel short great mountainsidetomuseum garment wick moisture dry quickly look sharp successive day use continentals deploy classic guide fabric tough agile blend 53 polyester 47 nylon dwr durable water repellent finish detail include dropin front pocket two cargo two rear pocket one zipper closure one hookandloop velcro closure regular fit inseam size 32 10 12 recyclable common thread recycling programdetails wrinkleresistant fastdrying polyester nylon blend zip fly button closure dropin front pocket rear cargo pocket right zippered left hookandloop closure sideseam cargo pocket one zippered security one hookandloop easyaccess dwr finish inseam 10 12fabric 52oz 53 polyester47 nylon dwr finish recyclable common thread recycling programweight 269 g 95 ozmade vietnam
30,cotton board short classic fabric form 56oz 100 organic cotton brushed canvas board short provides lightweight durability water pattern inspired plantationera cane field workshirts selffabric waistband flatlying 2button fly cleanly styled flapped patch pocket metal button closure doubleneedle stitched seam inseam size 32 10 outseam 20 recyclable common thread recycling programdetails hawaiian classic fabric form fabric pattern inspired plantationera cane field workshirts selffabric waistband flatlying 2button fly flapped patch pocket metal button closure doubleneedle stitched seam inseam size 32 10 outseam 20 available size 29fabric 56oz 100 organic cotton brushed canvas recyclable common thread recycling programweight 222 g 77 ozmade thailand
31,crosstown crosstown crosscountry fully featured commuter backpack ensures life stay organized whether youre officebound hiking steep narrow somewhere global commute inside zippered main compartment feature suspended selfadjusting padded laptop sleeve handle 15 17 laptop secondary zippered compartment open portable office organizer system front catchall sleeve hidden zipper provides easy access document stretchwoven waterbottle pocket fleecelined top pocket protects sunglass electronics 3d spacermesh backpack strap back padding comfort breathability adjustable sternum strap builtin safety whistle made 150denier allrecycled polyester double weave polyurethane coating dwr durable water repellent finishdetails large zippered main compartment fully padded suspended laptop sleeve separate internal mesh organizer sleeve second zippered compartment office organizer pocket front catchall sleeve hidden zipper provides easyaccess document ticket important material side organizer pocket detachable key chain stretchwoven water bottle pocket fleecelined top pocket sunglass electronics 3d spacermesh strap back pad wick moisture dry quickly allow air circulation shoulder strap slot clipon attachment adjustable sternum strap builtin safety whistle web carrying handle stowable attachment strap hold 15 17 laptopfabric 74oz 150denier 100 allrecycled polyester double weave lining 33oz 200denier 100 polyester polyurethane coating dwr durable water repellent finish shoulder strap 100 polyester 3d spacer meshweight 781 g 271 ozmade vietnam
32,custodian pant long graveyard shift advantage quitting time = dawn patrol custodian pant defined strong work ethic theyre made tough comfortable 52oz organic cotton canvas flat front generous wideentry front pocket welted back pocket zip fly button closure inseams size 32 short 30 regular 32 long 34 recyclable common thread recycling programdetails lightweight organic cotton canvas zip fly button closure flat front offset side seam generous wideentry front pocket welted back pocket inseam 34fabric 52oz 100 organic cotton canvas recyclable common thread recycling programweight 450 g 156 ozmade thailand
33,deep wading jkt whether youre chasing olympic peninsula chrome reaching striper beyond break sometimes simply jump go deep ultralightweight jacket cut waist serious wading minimalist design need waterproofbreathable fishing shell nothing addition fullvisibility hood reversed stretchcoat cuff roomy zippered fly box pocket feature fleecelined handwarmer pocket made tough 25layer ripstop nylon waterproofbreathable h2no barrier shortest fishing jacket deep wading also relaxed fit accommodate layer loaded vestdetails 25layer tearresistant nylon deluge dwr durable water repellent finish waterproofbreathable h2no barrier sealed seam packable lightweight visibilityhoudini drawcord hood singlepull adjustment drawcord waist drain hole external zippered chest pocket set high wading drain hole brushed polyester lined handwarmer pocket hanging accessory loop inside right pocket gluedin coated reversecoil main chest pocket zipper highly water resistant gusseted reverse stretchcoat cuff two internal mesh pocket dring back hidden daisy chain left side labelfabric shell 25layer 27oz 50denier 100 nylon ripstop waterproofbreathable h2no barrier deluge dwr finish cuff reverse stretchcoatweight 372 g 129 ozmade vietnam
34,delivery short local know best spot delivery short built allday comfort durability simple practical style made blend 65 allrecycled polyester 35 organic cotton theyre designed nod local deliveryman feature include flat front offset side seam zip fly button closure generous wideentry front pocket welted back pocket inseam size 32 11 recyclable common thread recycling programdetails soft yet durable 6oz 65 recycled polyester blended 35 organic cotton zip fly button closure flat front offset sideseams generous wideentry front pocket welted back pocket inseam 11fabric 6oz 65 allrecycled polyester35 organic cotton recyclable common thread recycling programweight 314 g 109 ozmade vietnam
35,sweater vest impossible confuse sweater vest found golf course bingo parlor come packed ultratoasty 800fill trap heat alpine condition minimalist design practically float compact stuff stretchmesh internal pocket carabiner clipin loop innovative superlight 100 allrecycled polyester shell 14oz 22denier dwr durable water repellent finish provides wind water protection well high tearstrength quilting stabilizes zippered handwarmer pocket drawcord hemdetails superlight windproof waterresistant shell high tearstrength quilted construction stabilizes premium 800fillpower european goose insulation centerfront zipper external pocket two zippered handwarmers interior pocket one zippered stretchmesh double stuff sack carabiner clipin loop elastic binding armhole drawcord hemfabric shell lining 14oz 22denier 100 allrecycled polyester deluge dwr durable water repellent finish insulation 800fillpower premium european goose downweight 243 g 86 ozmade china
36,dragoon tshirt dragoon dropped weapon favor big wave gun artist geoff mcfetridges work creates peaceful quiver dragoon tshirt tee made 100 organic cotton fabric pvc phthalatefree screen print ink easier environment lightweight tee ringspun yarn taped shoulder seam soft hand recyclable common thread recycling programdetails ringspun yarn softer hand taped shoulder seam screenprint ink pvc phthalatefreefabric 44oz 100 organic cotton recyclable common thread recycling programweight 150 g 52 ozmade usa
37,duck pant long essential wear splitting log driving nail applying little chewing gum crack ujoint classic doalls come substantial light supple 8oz organic cotton canvas style dictated function flat front slant sideentry front pocket welted buttonthrough rear pocket garmentwashed inseam size 32 32 regular version 30 short 34 long recyclable common thread recycling programdetails supple organic cotton classic flatfront styling slant sideentry front pocket welted buttonthrough rear pocket inseam 34fabric 8oz 100 organic cotton canvas recyclable common thread recycling programweight 532 g 188 ozmade thailand
38,elia fz sweatshirt clean wingate splitter elia made welcoming blend 95 organic cotton 5 spandex athletic climbing cut pocket rise harness standup neck add wind barrier warm early season cragging session fullzip front make easy take lap recyclable common thread recycling programdetails ultrasoft 95 organic cotton fleece 5 spandex stretch fullzip handwarmer pocketsfabric 76oz 95 organic cotton fleece5 spandex recyclable common thread recycling programweight 447 g 158 ozmade turkey
39,elia sweatshirt dirtbaggers complete wardrobe wear bouldering working slack line setting bivy view ranger probing eye hospitable mix 95 organic cotton 5 spandex suppleness dynamic move cloud grow ominous throw 4panel hood seal heat keep finger warm ready crimping roomy kangaroo pouch pocket offset shoulder seam clean silhouette stay smooth packstraps harness recyclable common thread recycling programdetails ultrasoft organic cotton fleece 5 spandex stretch pullover hoody kangaroo pouch pocket boulder screen print center chest jenny uehisafabric 76oz 95 organic cotton fleece5 spandex recyclable common thread recycling programweight 426 g 148 ozmade turkey
40,fezzman shirt look fresh even feel disheveled made 65 lightweight breathable allrecycled polyester 35 organic cotton plain weave fezz wont wrinkle tightest corner travel duffel recyclable common thread recycling programdetails lightweight breathable allrecycled polyesterorganic cotton plain weave single chest pocket modest tailsfabric 29oz 65 allrecycled polyester35 organic cotton plain weave recyclable common thread recycling programweight 164 g 57 ozmade thailand
41,fish frenzy tshirt dependent freeflowing current salmon extraordinary cycle life perseveres fish frenzy tshirt washingtonbased artist nikki mcclures work appears tee 100 organic cotton canvas ringspun fabric yarn taped shoulder seam create soft hand pvc phthalatefree ink easier environment shirt recyclable common thread recycling programdetails ringspun yarn softer hand taped shoulder seam screenprint ink pvc phthalatefreefabric 54oz 100 organic cotton recyclable common thread recycling programweight 199 g 69 ozmade usa
42,freewheeler sturdy wheeled bag hold week worth clothes keep boot dirty gear separate compartment floating baffle separating two zippered easyaccess end compartment internal mesh toiletry pocket fight force chaos keep organized lightcolored lining make easy see stashed inside structurally impactresistant skidplates toughasnails molded bottom pan stand brutal treatment smoothrolling 80mm wheel steered 2position retractable handle get youre going haul handle end external compression strap cinch load andor attach bulky item batten support side keep bag standing upright collapse easy storage made tough 1200denier polyester 100 recycled polyurethane coating dwr durable water repellent finish molded foam ballistics nylon bottomdetails main compartment hold week worth clothes fully lined lower compartment separate boot gear clothing floating baffle allows load expand either compartment zippered end compartment easyaccess item interior mesh pocket toiletry lightcolored lining make content easy find smoothrolling 80mm wheel provide plenty clearance impactresistant skidplates molded bottom pan resists abrasion protects content 2position retractable handle make steering easy haul handle either end external compression strap stowable business card holder let id bag batten support side keep bag standing collapse easy storagefabric 11oz 1200denier 100 allrecycled polyester lining 33oz 200denier 100 polyester polyurethane coating dwr durable water repellent finish bottom molded foam ballistics clothweight 4500 g 156 ozmade philippine
43,gi ii pant traveltested quickdrying durability gi ii pant stand rock river provide lifeofthegarment 40upf sun protection made superlight 37oz 100 supplex nylon twill gusseted crotch widestemming maneuver detail include low profile buckleclosure elastic waist fit harness changesafe onseam pocket mesh drain sideleg zippered pocket large enough map internal key loop zippered rear pocket modernized fit wider ankle inseam size 33 recyclable common thread recycling programdetails updated fit durable quickdrying nylon twill fixed web belt elasticized waist separating buckle buttonthrough zip fly change safe onseam front pocket polyester mesh drainage zippered sidepocket leg large enough map internal key loop zippered back pocket gusseted crotch inseam 33fabric 37oz 100 supplex nylon twill 40upf sun protection recyclable common thread recycling programweight 340 g 118 ozmade colombia
44,gi ii short base camp favorite gi ii featherlight weight motionfriendly crotch gusset invite day hike bouldering session dip creek soft tough nylon twill provides 40upf sun protection dry fast pack small take show road elastic waist separating lowprofile buckle buttonthrough zip fly two selfdraining front pocket rear zip pocket beerbottlesized zippered dropin thigh pocket inseam length size 11details updated fit tough quickdrying nylon fabric elasticized waist fixed webbing belt separating buckle buttonthrough zip fly two selfdraining front pocket rear zip pocket beerbottlesized zippered thigh pocket hookandloop closure gusseted crotch inseam 11fabric 37oz 100 supplex nylon twill 40upf sun protection recyclable common thread recycling programweight 265 g 92 ozmade colombia
45,girl boardie capri built twoweek camping trip baja beach capri made lightweight softbrushed 37oz 100 microfiber polyester handle salt water sand dirt dry quickly dwr durable water repellent finish two back dart builtin elastic waist adjustment hone fit threesnap leg opening allow vented styling hookandloop softtie fly selfdraining back patch pocket hipriding inseam 18 recyclable common thread recycling programdetails lightweight softbrushed microfiber polyester dry quickly deluge dwr durable water repellent finish two back dart builtin elastic waist adjustment hone fit 3snap leg opening allow vented styling hookandloop softtie fly selfdraining back patch pocket hipriding inseam 18fabric 37oz 100 microfiber polyester brushed face deluge dwr finish recyclable common thread recycling programweight 103 g 36 ozmade colombia
46,girl boardie short youre raising neptune daughter put boardies constructed durable softbrushed 37oz 100 microfiber polyester short dwr durable water repellent treated dry quickly comfort better performance come forward seaming crotch partially elasticized waistband nylon drawcord closure zippered hip pocket lay flat selfdrains hipriding unlined inseam 3 34 recyclable common thread recycling programdetails soft durable lightweight microfiber polyester quickdrying partial elasticized waistband manages fit comfort forward seaming crotch mobility comfort boardshortinspired closure secure easytoadjust nylon drawcord zippered hip pocket lie flat way drain hipriding unlined 3 34 inseamfabric 37oz 100 microfiber polyester brushed face dwr durable water repellent finish recyclable common thread recycling programweight 92 g 32 ozmade colombia
